Group_no,Group,Violation_no,Description,Restorative_Action_1,Restorative_Action_2,Restorative_Action_3,Restorative_Action_4,Restorative_Action_5,Restorative_Action_6,Restorative_Action_7,Restorative_Action_8,Restorative_Action_9,Consequence_1,Consequence_2,Consequence_3,Consequence_4,Consequence_5,Consequence_6,Consequence_7,Summary
3,Seriously Disruptive Behavior,4,"Profane, obscene, indecent, and immoral or seriously offensive language and gestures, propositions, behavior, or harassment based on race, color, national origin, sex, gender, sexual orientation, age, religion, gender identity, gender expression or disability","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,5,Persisting in serious acts of disobedience or inappropriate behaviors listed in Groups 1 through 3 of this SCC,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,6,Any behavior not otherwise listed in Groups 1 through 3 of this SCC that seriously disrupts the educational process,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,7,Forgery – false and fraudulent making or altering of a document or the use of such a document,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,8,"Plagiarizing, cheating and/or copying the work of another student or other source","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,9,Overt display of gang affiliation9,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,10,Bullying behaviors (see Anti-Bullying Policy before assigning an intervention or consequence),"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,11,Unauthorized activation or use of cellular telephones or other information technology device1,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,12,Inappropriately wearing any JROTC or Military Academy Uniformon or off school grounds,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,13,Use of the CPS network or any information technology device for any unauthorized purpose not otherwise listed in this SCC1,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
4,Very Seriously Disruptive Behavior,1,False activation of a fire alarm that does not cause a school facility to be evacuated or does not cause emergency services to be notified,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,2,Extortion – obtaining money or information from another by coercion or intimidation,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,3,Assault–anattemptorreasonablethreattoinflictinjuryonsomeonewithashow of force that would cause the victim to expect an immediate battery,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,4,Vandalism(willful or malicious destruction or defacing of the property of others) or criminal damage to property at a cost less than $500,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,5,Battery(unwanted bodily contact with another person without legal justification) or aiding or abetting in the commission of a battery which does not result in a physical injury,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,6,"Fighting14 – physical contact between more than two people with intent to harm, or physical contact between two people with intent to harm that results in injury","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,7,"Theft(unauthorized control over the physical property of another) or possession (physical control over, such as contained in clothing, lockers or bags) of stolen property that costs less than $150","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,8,"Possession, use, sale, or distribution of fireworks","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,9,Any behavior not otherwise listed in Groups 1 through 4 of this SCC that very seriously disrupts the educational process,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,10,[this code intentionally left blank],"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,11,Trespassing on CPS property – entering CPS property when previously prohibited,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,12,Knowingly or intentionally using the CPS network or information technology devices to spread viruses to the CPS network15,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,13,"Possession of any dangerous object as defined by this SCC, first offense (see Additional Resources section)1","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
4,Very Seriously Disruptive Behavior,14,"Use or possession of alcohol in school or at, before, or after a school related function, first offense17","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response.",Participation in peace or healing circle with staff and/or peers impacted by behavior.,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school or Saturday","For 4-14, referral to substance abuse prevention program or counseling","In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total)",Disciplinary Reassignment by Network,,,"Very seriously disruptive behavior is behavior that can disrupt the school as a whole and is considered illegal behaviors. They include possession and intent of using weapons, burglary and theft and aggravated assault."
5,Most Seriously Disruptive Behavior,1,"Aggravated assault – assault with a deadly weapon or done by a person who concealshis/her identity, or any assault against school personnel",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,2,Burglary – knowingly and without authority entering or remaining in a building or vehicle withintent to commit a felony or theft therein,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
